ID,WAVELENGTH,FLUX,FLUX_ERR
3791-55501-0884,[ 3587.5671  3588.3923  3589.22   ... 10392.016  10394.412  10396.809 ],"[ 6.2101337e-18  4.3262582e-17  5.2115307e-17 ...  1.2378346e-17
 -1.2607746e-17 -3.7594978e-17]","[3.4342706e-17 3.4713756e-17 3.3412608e-17 ... 4.9184093e-17 0.0000000e+00
 4.0292107e-17]"
3801-55509-0412,[ 3570.2617  3571.083   3571.9065 ... 10327.612  10329.994  10332.376 ],"[ 6.3051532e-18  1.7665294e-17  2.9023362e-17 ...  1.1221715e-18
  1.6949905e-17 -1.8461482e-17]","[2.7602895e-17 0.0000000e+00 2.7512217e-17 ... 1.5930584e-17 1.6715419e-17
 1.7485043e-17]"
3802-55514-0782,[ 3590.8735  3591.6995  3592.526  ... 10392.016  10394.412  10396.809 ],"[ 7.2685378e-18 -2.5094233e-17  1.9058382e-17 ...  1.5692698e-17
 -1.7556176e-18 -1.9203435e-17]","[2.8980941e-17 2.8076456e-17 2.9191081e-17 ... 3.4167605e-17 0.0000000e+00
 2.3871551e-17]"
3814-55535-0054,[ 3557.1323  3557.9507  3558.771  ... 10310.9795 10313.357  10315.736 ],"[ 2.8675046e-17  7.1126523e-18 -1.4450696e-17 ...  4.5965048e-16
  8.7027707e-16  3.6555613e-17]","[3.0527772e-17 0.0000000e+00 2.7141753e-17 ... 0.0000000e+00 4.6566917e-16
 1.2240195e-16]"
3818-55532-0068,[ 3557.1323  3557.9507  3558.771  ... 10315.736  10318.104  10320.482 ],"[-3.0403500e-17 -1.0859778e-17  3.1387673e-17 ...  5.7652576e-17
 -1.2332364e-16 -2.0429796e-18]","[2.4168345e-17 2.1280541e-17 2.2136180e-17 ... 6.3357787e-17 3.6857368e-17
 1.9697434e-17]"
3819-55540-0540,[ 3592.526   3593.3542  3594.181  ... 10387.236  10389.631  10392.016 ],"[ 2.7300011e-17  2.9709118e-18 -4.4298192e-17 ...  1.4027101e-17
 -2.0993813e-17 -5.6015506e-17]","[3.1201514e-17 3.0937270e-17 3.0276925e-17 ... 2.9878250e-17 0.0000000e+00
 9.0203722e-17]"
3819-55540-0802,[ 3592.526   3593.3542  3594.181  ... 10387.236  10389.631  10392.016 ],"[-1.0013370e-17  3.4869898e-17  5.9688089e-17 ...  8.5410078e-17
  1.4734568e-17 -5.5942370e-17]","[3.7482872e-17 3.8726687e-17 3.9053873e-17 ... 3.5325023e-17 0.0000000e+00
 8.7074888e-17]"
3828-55539-0803,[ 3590.8735  3591.6995  3592.526  ... 10363.348  10365.737  10368.116 ],"[ 3.0404029e-17 -1.8457518e-19  4.0329174e-17 ...  3.2071864e-18
  1.0523810e-17  4.4526313e-18]","[3.5293014e-17 3.1082089e-17 3.0958058e-17 ... 2.2376850e-17 2.6199139e-17
 1.4789035e-17]"
3830-55574-0381,[ 3553.0396  3553.857   3554.6765 ... 10313.357  10315.736  10318.104 ],"[ 2.0351237e-17  5.4908507e-17  8.9454872e-17 ...  3.6090409e-16
  1.0485340e-16 -7.7872338e-17]","[2.9740775e-16 0.0000000e+00 2.4253240e-16 ... 1.7110320e-16 8.4574738e-17
 2.9521805e-17]"
3837-55572-0639,[ 3585.915   3586.74    3587.5671 ... 10389.631  10392.016  10394.412 ],"[ 5.4991484e-18  4.9872211e-17  5.5654449e-18 ...  1.1814729e-16
  9.7234626e-19 -1.1620487e-16]","[5.81399511e-17 5.74116285e-17 5.37251922e-17 ... 1.10505765e-16
 0.00000000e+00 1.91532265e-17]"
3840-55574-0495,[ 3556.3142  3557.1323  3557.9507 ... 10322.862  10325.231  10327.612 ],"[2.1467228e-17 1.7616841e-17 2.9830657e-17 ... 5.3138867e-17 8.8823230e-17
 3.2552839e-17]","[6.3594545e-17 2.6308499e-17 2.6540509e-17 ... 5.1006025e-17 3.7092443e-17
 3.4776079e-17]"
3840-55574-0826,[ 3591.6995  3592.526   3593.3542 ... 10396.809  10399.206  10401.593 ],"[-6.2273412e-17  5.2395342e-20  7.9084184e-17 ... -9.7117125e-18
  6.2791869e-17  1.3530180e-16]","[3.2929375e-17 3.3870584e-17 3.4799141e-17 ... 4.9294872e-17 0.0000000e+00
 5.1423201e-17]"
3843-55278-0627,[ 3582.6133  3583.4395  3584.264  ... 10358.569  10360.958  10363.348 ],"[1.09533784e-17 3.04449549e-17 5.46972849e-17 ... 2.99772669e-17
 3.68481666e-17 4.37190729e-17]","[1.0235536e-16 9.7363909e-17 6.3506050e-17 ... 3.9268418e-17 0.0000000e+00
 2.4776375e-17]"
3848-55647-0395,[ 3557.1323  3557.9507  3558.771  ... 10320.482  10322.862  10325.231 ],"[2.7003979e-16 2.1440651e-16 1.5879894e-16 ... 1.6234458e-17 3.7645555e-17
 4.3466796e-17]","[7.1933717e-17 0.0000000e+00 7.0771509e-17 ... 2.2451439e-17 1.5877954e-17
 1.7162237e-17]"
