ID,WAVELENGTH,FLUX,FLUX_ERR
5851-56075-0908,[ 3588.3923  3589.22    3590.0457 ... 10375.279  10377.672  10380.064 ],"[ 1.6001311e-17 -2.8824898e-17  3.4150264e-17 ...  8.7132071e-18
  4.5011339e-18 -3.7110161e-17]","[2.4325832e-17 2.3422418e-17 2.3358540e-17 ... 6.2399885e-17 4.6575195e-17
 3.3646091e-17]"
5855-56088-0473,[ 3581.7893  3582.6133  3583.4395 ... 10334.747  10337.131  10339.515 ],"[ 3.0303572e-16  2.5896481e-16  2.1492089e-16 ... -7.2590743e-17
 -2.9475506e-17  4.3155356e-17]","[1.0497879e-16 0.0000000e+00 1.0433706e-16 ... 5.0568499e-17 4.9799145e-17
 4.4668895e-17]"
5856-56090-0347,[ 3581.7893  3582.6133  3583.4395 ... 10329.994  10332.376  10334.747 ],"[ 6.2540107e-18  3.0069402e-17  5.3891482e-17 ...  3.8240742e-17
 -5.6705601e-18 -2.7374580e-17]","[2.5379167e-17 0.0000000e+00 2.7830766e-17 ... 2.6744046e-17 2.9427801e-17
 2.7601270e-17]"
5863-56042-0568,[ 3602.4678  3603.2964  3604.1252 ... 10384.841  10387.236  10389.631 ],"[-4.8183218e-17  2.4426974e-17  1.9318669e-17 ...  2.0948295e-16
  6.1396078e-17 -3.1205547e-17]","[3.2990679e-17 3.3830582e-17 3.1361408e-17 ... 1.0719863e-16 7.1605730e-17
 5.4595148e-17]"
5876-56042-0786,[ 3600.8088  3601.6372  3602.4678 ... 10382.458  10384.841  10387.236 ],"[ 2.8766324e-17  4.0257633e-17  4.4159735e-17 ...  6.2506776e-17
  1.2563590e-17 -3.7379650e-17]","[3.8589656e-17 3.7844459e-17 3.8337131e-17 ... 8.9780549e-17 0.0000000e+00
 5.4684728e-17]"
5880-56042-0587,[ 3600.8088  3601.6372  3602.4678 ... 10387.236  10389.631  10392.016 ],"[ 3.8526059e-17  1.2732644e-17  8.8557520e-17 ...  9.8696001e-17
  3.8174504e-17 -4.6495237e-17]","[3.0154796e-17 2.9570225e-17 3.1246430e-17 ... 4.0019756e-17 5.1622764e-17
 5.4754516e-17]"
5893-56034-0533,[ 3596.666   3597.4934  3598.3208 ... 10382.458  10384.841  10387.236 ],"[-8.9908453e-18 -8.1450953e-18 -3.0230265e-17 ...  6.8647084e-17
  7.2458648e-18 -5.4157199e-17]","[2.2562605e-17 2.4193086e-17 2.1937161e-17 ... 6.6911553e-17 0.0000000e+00
 3.2093403e-17]"
5894-56039-0516,[ 3600.8088  3601.6372  3602.4678 ... 10382.458  10384.841  10387.236 ],"[5.9548210e-17 8.3355346e-18 3.2152950e-17 ... 9.7866989e-18 9.2335252e-18
 1.0370321e-16]","[2.5699557e-17 2.4107291e-17 2.4063880e-17 ... 5.2188261e-17 4.3934044e-17
 4.5781959e-17]"
5898-56045-0849,[ 3601.6372  3602.4678  3603.2964 ... 10384.841  10387.236  10389.631 ],"[-3.1637342e-18  3.0935761e-17 -2.9869188e-17 ...  8.9152666e-17
  1.3103744e-16  7.8681989e-17]","[2.9346413e-17 2.9975338e-17 3.1321227e-17 ... 1.0881874e-16 8.1367123e-17
 4.0484512e-17]"
5899-56038-0801,[ 3599.9788  3600.8088  3601.6372 ... 10389.631  10392.016  10394.412 ],"[-8.4552351e-17  5.6432002e-17  8.6406327e-18 ...  6.8299615e-17
 -1.1884818e-17 -9.2069120e-17]","[3.8516315e-17 3.5511026e-17 3.6372392e-17 ... 2.9553621e-17 0.0000000e+00
 2.8632877e-17]"
5900-56043-0572,[ 3600.8088  3601.6372  3602.4678 ... 10389.631  10392.016  10394.412 ],"[ 8.0717793e-17 -2.8584252e-17  4.1722034e-17 ...  1.6968315e-16
 -5.0213937e-18 -1.7973706e-16]","[4.0337211e-17 3.7308714e-17 4.0111933e-17 ... 1.0239288e-16 0.0000000e+00
 3.9387267e-17]"
5901-56039-0452,[ 3560.4106  3561.2297  3562.0508 ... 10339.515  10341.888  10344.272 ],"[-5.2084861e-16 -4.3066768e-16 -3.4052006e-16 ...  4.7189777e-17
  7.3808558e-17  3.5657311e-17]","[4.0585911e-17 0.0000000e+00 4.2013734e-17 ... 3.0662705e-17 3.2317047e-17
 3.4016344e-17]"
5902-56042-0794,[ 3600.8088  3601.6372  3602.4678 ... 10387.236  10389.631  10392.016 ],"[ 1.3336951e-16  4.4566146e-17  9.4020657e-18 ...  7.0796953e-17
 -1.0318423e-18 -7.2860980e-17]","[5.4825382e-17 4.6969310e-17 4.5357178e-17 ... 5.2709103e-17 0.0000000e+00
 2.7294325e-17]"
5904-56046-0977,[ 3599.9788  3600.8088  3601.6372 ... 10382.458  10384.841  10387.236 ],"[ 6.1649804e-17 -3.9391677e-18  2.0189502e-17 ... -3.9717682e-16
 -1.4857073e-16  1.0004229e-16]","[3.3367328e-17 3.2258542e-17 3.3326620e-17 ... 0.0000000e+00 0.0000000e+00
 7.1999614e-17]"
5953-56092-0008,[ 3585.0903  3585.915   3586.74   ... 10327.612  10329.994  10332.376 ],"[-2.4036492e-17  2.3848221e-17  8.9409770e-18 ...  1.3026852e-17
  3.6596747e-17  2.0948974e-17]","[1.2341474e-16 4.4857651e-17 4.2911569e-17 ... 1.8527203e-17 1.9612659e-17
 2.1277440e-17]"
5987-56339-0051,[ 3560.4106  3561.2297  3562.0508 ... 10327.612  10329.994  10332.376 ],"[ 6.37549788e-17  1.06049266e-16  1.48350700e-16 ...  1.76860943e-17
  4.48656014e-17 -2.84279444e-17]","[3.2751846e-17 0.0000000e+00 3.8903413e-17 ... 2.4606474e-17 2.3188278e-17
 2.5064769e-17]"
5989-56312-0749,[ 3606.6172  3607.447   3608.2788 ... 10382.458  10384.841  10387.236 ],"[9.5001455e-17 8.3208976e-17 6.8795626e-17 ... 3.5252115e-17 4.7996040e-17
 6.0740230e-17]","[3.6381015e-17 3.4451570e-17 3.3239178e-17 ... 0.0000000e+00 0.0000000e+00
 3.4941538e-17]"
5991-56076-0044,[ 3577.6682  3578.4915  3579.3167 ... 10329.994  10332.376  10334.747 ],"[-2.8397372e-17 -3.6191898e-17  1.6396833e-16 ...  1.1875799e-18
 -4.2465937e-17 -4.5332737e-17]","[3.5309515e-17 2.8905072e-17 2.7219711e-17 ... 1.9553001e-17 1.8867657e-17
 1.8503782e-17]"
6012-56101-0730,[ 3589.22    3590.0457  3590.8735 ... 10389.631  10392.016  10394.412 ],"[ 3.1164464e-18  8.3268772e-17 -1.3735160e-19 ...  2.9059196e-17
  3.3894720e-18 -2.2280449e-17]","[3.8604658e-17 3.6674737e-17 3.3820107e-17 ... 2.4533907e-17 0.0000000e+00
 5.7453755e-17]"
6019-56074-0482,[ 3580.9636  3581.7893  3582.6133 ... 10341.888  10344.272  10346.657 ],"[-5.0556650e-17 -2.7182161e-17  4.4232001e-17 ...  2.9610968e-17
 -2.3734571e-17 -4.5175338e-17]","[3.3906166e-17 3.1368184e-17 3.0065623e-17 ... 3.1705975e-17 4.3789367e-17
 6.2677037e-17]"
6024-56088-0708,[ 3588.3923  3589.22    3590.0457 ... 10380.064  10382.458  10384.841 ],"[-9.8791661e-18 -3.8166795e-17  9.2373509e-18 ... -2.3056623e-16
  7.9318892e-17  1.4071944e-16]","[3.6703873e-17 3.3476797e-17 3.6166768e-17 ... 1.2458652e-16 7.5632426e-17
 6.2631562e-17]"
6040-56101-0004,[ 3585.0903  3585.915   3586.74   ... 10337.131  10339.515  10341.888 ],"[-2.0490978e-17  2.4828953e-17  7.0151474e-17 ...  4.6544076e-18
  4.2189321e-21  1.2800684e-17]","[5.0716273e-17 0.0000000e+00 4.4576575e-17 ... 3.1003040e-17 2.6263446e-17
 2.2723000e-17]"
6050-56089-0885,[ 3586.74    3587.5671  3588.3923 ... 10387.236  10389.631  10392.016 ],"[ 6.830180e-17  3.736383e-17  6.699656e-17 ...  7.515639e-17 -2.107780e-18
 -7.937502e-17]","[2.5944024e-17 2.5181376e-17 2.5819467e-17 ... 3.9907693e-17 0.0000000e+00
 2.1129745e-17]"
6051-56093-0379,[ 3583.4395  3584.264   3585.0903 ... 10329.994  10332.376  10334.747 ],"[-1.9193634e-17  2.0235529e-17  5.9675807e-17 ...  3.2371147e-17
 -2.3659339e-17 -1.3758748e-17]","[4.2396196e-17 0.0000000e+00 4.1675487e-17 ... 2.0115858e-17 2.6549626e-17
 3.0583776e-17]"
6111-56270-0028,[ 3562.0508  3562.8704  3563.69   ... 10337.131  10339.515  10341.888 ],"[-8.8937053e-19 -2.1986916e-17  6.5313945e-18 ... -2.3951525e-18
  4.8674619e-17  4.2082271e-17]","[2.7806087e-17 2.4789195e-17 2.6223553e-17 ... 2.4598037e-17 2.4827475e-17
 2.8293537e-17]"
6114-56209-0437,[ 3562.8704  3563.69    3564.5117 ... 10339.515  10341.888  10344.272 ],"[ 4.9974845e-17  4.1968802e-17  3.3961812e-17 ...  2.7067189e-17
  5.3664702e-17 -3.0733650e-18]","[5.7964503e-17 0.0000000e+00 2.4631721e-17 ... 1.9754683e-17 2.0416520e-17
 2.6173361e-17]"
6114-56209-0535,[ 3604.9565  3605.786   3606.6172 ... 10389.631  10392.016  10394.412 ],"[ 4.1858995e-17  2.3458142e-17 -5.8121151e-17 ...  2.3608047e-17
 -2.1602502e-17 -6.6815382e-17]","[2.6271255e-17 2.6294283e-17 2.3204077e-17 ... 4.1418449e-17 0.0000000e+00
 2.8218674e-17]"
6116-56245-0519,[ 3601.6372  3602.4678  3603.2964 ... 10384.841  10387.236  10389.631 ],"[ 4.4267282e-17  4.3908904e-17  4.8107084e-17 ...  1.1526476e-16
  8.6193262e-18 -9.8026792e-17]","[2.9344897e-17 2.9047820e-17 2.8873312e-17 ... 5.6875159e-17 0.0000000e+00
 5.7675982e-17]"
6117-56272-0628,[ 3602.4678  3603.2964  3604.1252 ... 10356.193  10358.569  10360.958 ],"[-4.48614870e-18  1.85474176e-17  1.17651114e-17 ... -3.18108385e-17
 -4.29512871e-18  2.32212511e-17]","[2.1056635e-17 2.1645523e-17 2.0699103e-17 ... 2.3462078e-17 0.0000000e+00
 2.7204635e-17]"
6118-56189-0557,[ 3606.6172  3607.447   3608.2788 ... 10387.236  10389.631  10392.016 ],"[ 1.89806743e-16  5.87986648e-17  1.05704246e-16 ...  1.90203515e-17
  1.19320989e-16 -1.65147999e-17]","[4.7094579e-17 3.8934607e-17 4.0672881e-17 ... 5.3092042e-17 5.3585395e-17
 5.5944680e-17]"
6125-56273-0074,[ 3559.5898  3560.4106  3561.2297 ... 10339.515  10341.888  10344.272 ],"[ 1.3986893e-18  5.0598613e-18  8.7218776e-18 ...  5.6584408e-17
  2.4115210e-17 -6.6178069e-17]","[3.8079068e-17 0.0000000e+00 2.0657985e-17 ... 3.0078838e-17 2.8690925e-17
 3.7669319e-17]"
6130-56214-0459,[ 3562.0508  3562.8704  3563.69   ... 10337.131  10339.515  10341.888 ],"[-4.786559e-17 -6.525812e-17 -8.264514e-17 ... -6.505461e-17  3.794599e-17
  6.639405e-17]","[4.1208451e-17 0.0000000e+00 3.8704797e-17 ... 3.5346271e-17 3.0511176e-17
 2.7919103e-17]"
6159-56214-0091,[ 3563.69    3564.5117  3565.3318 ... 10337.131  10339.515  10341.888 ],"[ 1.07082355e-16  4.79847374e-17 -1.10927427e-17 ...  5.77936163e-18
 -5.22945196e-18  4.12789430e-17]","[5.8597554e-17 0.0000000e+00 4.0289837e-17 ... 3.5007521e-17 3.7029514e-17
 4.6779807e-17]"
6167-56189-0231,[ 3562.8704  3563.69    3564.5117 ... 10341.888  10344.272  10346.657 ],"[-1.2771358e-16  1.6624055e-16  1.0640438e-16 ...  8.5928488e-17
  7.9764108e-18 -7.0774275e-17]","[7.7924252e-17 4.0299343e-17 4.5942908e-17 ... 2.5111230e-17 3.6640127e-17
 4.8193419e-17]"
6176-56264-0425,[ 3562.8704  3563.69    3564.5117 ... 10329.994  10332.376  10334.747 ],"[-1.2725359e-18  8.2846059e-18  3.0468602e-17 ...  6.4625689e-17
  2.3392027e-18 -3.8214001e-17]","[3.3308049e-17 2.7072382e-17 2.6052685e-17 ... 2.8369943e-17 3.0100626e-17
 3.0841813e-17]"
6178-56213-0377,[ 3561.2297  3562.0508  3562.8704 ... 10339.515  10341.888  10344.272 ],"[2.4501661e-16 5.1351217e-17 5.1139283e-17 ... 3.5022887e-17 7.0970383e-17
 2.3289010e-17]","[5.7472006e-17 5.6690525e-17 5.2622594e-17 ... 3.3203837e-17 3.1377287e-17
 4.0607014e-17]"
6194-56190-0982,[ 3604.9565  3605.786   3606.6172 ... 10384.841  10387.236  10389.631 ],"[ 6.99217095e-17 -1.54088809e-17 -2.46283167e-17 ...  2.78558511e-16
  8.77110823e-17 -1.03151434e-16]","[2.7671896e-17 2.7609117e-17 2.6040415e-17 ... 1.0890777e-16 0.0000000e+00
 6.7254548e-17]"
6252-56248-0608,[ 3604.1252  3604.9565  3605.786  ... 10382.458  10384.841  10387.236 ],"[-1.4478462e-17  4.7491883e-17 -4.8088223e-18 ...  2.9031980e-16
  3.7811003e-16  1.3954403e-16]","[4.1456013e-17 3.9699895e-17 3.8798615e-17 ... 0.0000000e+00 3.7905153e-16
 1.6333326e-16]"
6253-56574-0167,[ 3565.3318  3566.1538  3566.9744 ... 10341.888  10344.272  10346.657 ],"[-1.5981639e-16  6.1327813e-17  2.3957103e-17 ...  3.1192074e-17
 -8.9554616e-17 -4.8342519e-17]","[4.9294578e-17 4.8688797e-17 4.7262198e-17 ... 6.9516954e-17 9.1393168e-17
 1.0076179e-16]"
6253-56574-0680,[ 3605.786   3606.6172  3607.447  ... 10384.841  10387.236  10389.631 ],"[ 1.00827023e-16 -2.31821933e-17  4.76102860e-17 ...  7.87570440e-17
  5.80537853e-17  3.73505266e-17]","[3.7476622e-17 3.1833096e-17 2.9679846e-17 ... 1.2831284e-16 0.0000000e+00
 8.1801803e-17]"
6254-56268-0654,[ 3604.9565  3605.786   3606.6172 ... 10384.841  10387.236  10389.631 ],"[ 5.1960664e-17 -3.1416991e-17 -3.6363224e-18 ...  1.7450630e-16
  3.8221124e-17 -9.8069521e-17]","[3.9985319e-17 3.6829287e-17 3.8400765e-17 ... 8.7061309e-17 0.0000000e+00
 7.2796473e-17]"
6265-56248-0717,[ 3603.2964  3604.1252  3604.9565 ... 10389.631  10392.016  10394.412 ],"[-5.21442019e-17 -4.80668367e-18  3.32038776e-18 ... -7.62623996e-17
 -8.95517709e-17 -1.02841526e-16]","[3.2092841e-17 3.1749002e-17 3.0600359e-17 ... 0.0000000e+00 0.0000000e+00
 3.2862218e-17]"
6275-56245-0534,[ 3600.8088  3601.6372  3602.4678 ... 10380.064  10382.458  10384.841 ],"[ 1.9854026e-16 -1.4682611e-16 -3.0364761e-17 ... -5.1541177e-16
  3.6422684e-16  2.8872322e-16]","[6.7022772e-17 5.7430951e-17 5.2062486e-17 ... 4.5553146e-16 3.2395707e-16
 2.7466404e-16]"
6283-56239-0262,[ 3564.5117  3565.3318  3566.1538 ... 10339.515  10341.888  10344.272 ],"[-1.2253056e-16 -8.9634608e-17 -5.6738429e-17 ... -9.9468874e-18
  2.1379603e-16 -1.3115105e-16]","[3.3243214e-17 0.0000000e+00 3.1408180e-17 ... 5.1927825e-17 5.8885499e-17
 6.2454413e-17]"
6290-56238-0843,[ 3603.2964  3604.1252  3604.9565 ... 10382.458  10384.841  10387.236 ],"[ 6.7214526e-17 -3.7606552e-17  3.5429982e-18 ...  1.2072379e-16
  1.2383618e-16  1.2694860e-16]","[2.93730446e-17 2.50024820e-17 2.51337224e-17 ... 1.10645254e-16
 0.00000000e+00 2.28819879e-17]"
6315-56181-0276,[ 3563.69    3564.5117  3565.3318 ... 10339.515  10341.888  10344.272 ],"[ 8.6795797e-18  1.2447326e-17  1.6216148e-17 ...  2.7004406e-17
  1.6986235e-16 -8.2321227e-19]","[3.1951585e-17 0.0000000e+00 3.1183733e-17 ... 3.3746339e-17 4.9290932e-17
 5.9113046e-17]"
6402-56334-0033,[ 3561.2297  3562.0508  3562.8704 ... 10337.131  10339.515  10341.888 ],"[2.4404515e-16 1.8883730e-16 1.8157025e-16 ... 7.5741711e-18 8.9324563e-18
 6.8754835e-18]","[3.8114550e-17 3.7501924e-17 3.6595860e-17 ... 2.0865272e-17 1.9061011e-17
 2.0375990e-17]"
6404-56330-0689,[ 3605.786   3606.6172  3607.447  ... 10382.458  10384.841  10387.236 ],"[ 6.4104413e-17  4.6689151e-17  2.1769885e-17 ... -1.9742495e-17
  5.3659696e-17  3.2701423e-18]","[3.9257773e-17 4.0430901e-17 3.9580070e-17 ... 2.3171215e-17 2.0584613e-17
 2.2268903e-17]"
6408-56329-0200,[ 3562.8704  3563.69    3564.5117 ... 10339.515  10341.888  10344.272 ],"[ 1.0090661e-16  4.4932699e-17 -1.1045264e-17 ... -1.8249204e-17
  4.4530196e-17  5.4613343e-17]","[3.6459838e-17 0.0000000e+00 3.6149123e-17 ... 1.9938284e-17 2.2488457e-17
 2.6947584e-17]"
6409-56306-0367,[ 3561.2297  3562.0508  3562.8704 ... 10329.994  10332.376  10334.747 ],"[-7.7520965e-17  2.3180939e-17  1.2388336e-16 ...  1.9582896e-17
  2.5241084e-17  1.5392177e-17]","[2.6250474e-17 0.0000000e+00 2.9304193e-17 ... 1.8943680e-17 2.2869330e-17
 2.8901297e-17]"
6417-56308-0981,[ 3603.2964  3604.1252  3604.9565 ... 10382.458  10384.841  10387.236 ],"[ 1.4614991e-16  9.2502562e-17  1.6148262e-16 ... -1.6160044e-16
  3.1720839e-16  1.8259390e-16]","[4.2589700e-17 3.9837223e-17 4.2500249e-17 ... 1.3160958e-16 1.1666055e-16
 7.7427182e-17]"
6449-56356-0692,[ 3604.9565  3605.786   3606.6172 ... 10387.236  10389.631  10392.016 ],"[-9.3303913e-18 -1.7265114e-17  6.8456785e-19 ...  3.4260431e-17
 -2.5082173e-17 -8.4429465e-17]","[4.4863884e-17 4.2499177e-17 4.3130868e-17 ... 3.7152824e-17 0.0000000e+00
 3.7672922e-17]"
6456-56339-0275,[ 3562.8704  3563.69    3564.5117 ... 10339.515  10341.888  10344.272 ],"[-7.7027586e-19  4.6559548e-17  9.3887163e-17 ...  1.5656403e-17
  1.7489818e-17  1.6710876e-17]","[4.3072638e-17 0.0000000e+00 4.3106913e-17 ... 1.9044211e-17 2.0955175e-17
 2.3017839e-17]"
6456-56339-0834,[ 3604.1252  3604.9565  3605.786  ... 10392.016  10394.412  10396.809 ],"[-8.7759608e-17  4.6745009e-17 -6.4128950e-17 ... -6.8156122e-17
  1.2856741e-16  3.2529204e-16]","[5.0003415e-17 5.0345213e-17 4.8641165e-17 ... 4.6052589e-17 0.0000000e+00
 1.8352572e-16]"
6457-56330-0700,[ 3605.786   3606.6172  3607.447  ... 10389.631  10392.016  10394.412 ],"[ 6.7060479e-17  6.7873749e-17  2.7937337e-17 ...  3.7747378e-17
 -3.3024365e-17 -7.9429218e-17]","[3.1449301e-17 3.1008133e-17 3.4195534e-17 ... 2.9304657e-17 3.0618898e-17
 3.2881104e-17]"
6458-56274-0655,[ 3609.109   3609.9392  3610.7717 ... 10387.236  10389.631  10392.016 ],"[ 1.7190846e-17  1.4356923e-16  4.6295909e-17 ...  1.3985005e-16
  3.7593369e-18 -1.3233386e-16]","[3.6930167e-17 3.7208334e-17 3.7224861e-17 ... 1.0235512e-16 0.0000000e+00
 1.0961972e-16]"
6461-56329-0486,[ 3563.69    3564.5117  3565.3318 ... 10329.994  10332.376  10334.747 ],"[-1.8365231e-16 -9.2531573e-17 -1.3463120e-18 ...  1.5552483e-17
 -4.1196956e-17 -1.5875833e-17]","[3.4677612e-17 0.0000000e+00 3.4463610e-17 ... 2.2405775e-17 2.5469788e-17
 2.4803236e-17]"
6473-56363-0410,[ 3564.5117  3565.3318  3566.1538 ... 10337.131  10339.515  10341.888 ],"[-7.9971312e-17  4.7293282e-18  8.9399867e-17 ...  2.6676222e-17
  1.5544215e-18  3.8381624e-17]","[3.6824096e-17 0.0000000e+00 4.0188206e-17 ... 2.5521715e-17 2.2818143e-17
 2.5160128e-17]"
6479-56364-0245,[ 3563.69    3564.5117  3565.3318 ... 10327.612  10329.994  10332.376 ],"[1.1348591e-16 8.0011434e-17 2.3880124e-17 ... 4.6322455e-17 3.5818800e-17
 8.0321405e-18]","[3.2226120e-17 3.1436986e-17 3.0587941e-17 ... 1.6887312e-17 1.6355533e-17
 1.8386566e-17]"
6493-56338-0140,[ 3562.8704  3563.69    3564.5117 ... 10337.131  10339.515  10341.888 ],"[ 1.9673849e-17 -7.1086123e-18  3.6939314e-18 ... -2.1684010e-17
 -6.2487672e-18  1.4352603e-17]","[9.6863922e-17 4.2344732e-17 4.4815041e-17 ... 2.8515166e-17 3.5406186e-17
 3.1890360e-17]"
6501-56563-0158,[ 3562.0508  3562.8704  3563.69   ... 10337.131  10339.515  10341.888 ],"[ 2.5418466e-16  1.5890024e-16  6.3660733e-17 ...  3.3944614e-17
 -3.0505061e-17  1.0673704e-16]","[5.3611590e-16 0.0000000e+00 5.8167996e-17 ... 4.0854937e-17 3.0938577e-17
 3.7280312e-17]"
6513-56543-0640,[ 3611.6023  3612.435   3613.266  ... 10356.193  10358.569  10360.958 ],"[-3.3599749e-17  1.4188771e-17  7.8495767e-18 ...  1.0805694e-17
 -1.2147795e-17 -1.1279354e-17]","[3.3445380e-17 3.3622000e-17 3.1994701e-17 ... 2.8404419e-17 2.7949083e-17
 2.6277548e-17]"
6514-56487-0217,[ 3575.1963  3576.0208  3576.8435 ... 10341.888  10344.272  10346.657 ],"[ 2.3593208e-17 -1.1831171e-18 -2.5961135e-17 ...  8.6992410e-18
 -8.2912689e-18 -3.2987023e-17]","[4.9016827e-17 0.0000000e+00 2.6800969e-17 ... 2.9245215e-17 2.6938018e-17
 2.3416089e-17]"
6514-56487-0797,[ 3618.2625  3619.0947  3619.9292 ... 10382.458  10384.841  10387.236 ],"[ 3.5744086e-17 -8.3908060e-18  4.4392646e-17 ... -1.4200051e-16
 -8.0291833e-18  3.5240439e-17]","[3.4684295e-17 3.3595378e-17 3.4678052e-17 ... 6.1077250e-17 5.0979945e-17
 3.7280557e-17]"
6519-56566-0861,[ 3607.447   3608.2788  3609.109  ... 10380.064  10382.458  10384.841 ],"[-5.4908460e-18 -4.2571810e-18  1.2893338e-16 ... -2.0932699e-16
  3.5536850e-17  3.7912384e-17]","[3.9545053e-17 4.0054934e-17 4.0667958e-17 ... 1.1951799e-16 7.4219588e-17
 3.2404073e-17]"
6521-56537-0510,[ 3610.7717  3611.6023  3612.435  ... 10384.841  10387.236  10389.631 ],"[ 2.3603165e-19  4.5242548e-17 -2.7083119e-17 ...  1.3417944e-16
  7.6601001e-17  1.9021508e-17]","[3.9959395e-17 3.8945321e-17 3.7069613e-17 ... 5.0712746e-17 0.0000000e+00
 3.7883115e-17]"
6600-56566-0226,[ 3566.1538  3566.9744  3567.7969 ... 10334.747  10337.131  10339.515 ],"[ 1.6051143e-16 -5.4966688e-17  3.4053911e-17 ...  2.5763500e-17
 -1.6349140e-18  1.9217171e-17]","[4.9219156e-17 4.7548472e-17 4.5130316e-17 ... 3.3829864e-17 3.9335406e-17
 4.1509779e-17]"
6618-56401-0948,[ 3605.786   3606.6172  3607.447  ... 10387.236  10389.631  10392.016 ],"[ 1.3300522e-16 -1.0912699e-16  6.7428097e-17 ...  5.2735858e-17
 -9.1969390e-18 -7.1132384e-17]","[2.6041474e-17 2.4217928e-17 2.3257248e-17 ... 5.4416259e-17 0.0000000e+00
 2.4951155e-17]"
6620-56368-0337,[ 3565.3318  3566.1538  3566.9744 ... 10334.747  10337.131  10339.515 ],"[ 2.8617760e-16  2.3198184e-16  1.7780746e-16 ...  6.7654580e-19
  1.0800195e-18 -4.8435106e-18]","[4.1188426e-17 0.0000000e+00 4.2173191e-17 ... 1.9492695e-17 2.1128557e-17
 2.1226528e-17]"
6641-56383-0398,[ 3563.69    3564.5117  3565.3318 ... 10341.888  10344.272  10346.657 ],"[ 6.0397446e-16 -1.8333974e-16  2.3324267e-16 ...  5.5378604e-17
  3.8108418e-18 -5.8461400e-17]","[6.4942539e-17 6.1695696e-17 5.7886801e-17 ... 2.0875804e-17 3.1977942e-17
 3.7293229e-17]"
6658-56606-0456,[ 3566.1538  3566.9744  3567.7969 ... 10351.419  10353.806  10356.193 ],"[ 1.2662097e-16  6.2561437e-17 -1.5092642e-18 ...  7.8483892e-16
  2.8156445e-16 -1.0992369e-16]","[9.1039690e-17 0.0000000e+00 4.3211829e-17 ... 2.6243516e-16 2.2431796e-16
 1.8839261e-16]"
6664-56383-0343,[ 3565.3318  3566.1538  3566.9744 ... 10334.747  10337.131  10339.515 ],"[ 9.2621867e-16  8.1718774e-16  7.0814543e-16 ...  2.2667055e-17
 -7.1827021e-18  4.7127662e-17]","[3.7167343e-17 0.0000000e+00 3.6143614e-17 ... 2.1429566e-17 1.9642294e-17
 2.0506965e-17]"
6670-56389-0169,[ 3566.1538  3566.9744  3567.7969 ... 10341.888  10344.272  10346.657 ],"[-5.1017014e-18  9.4477095e-18  3.3908320e-17 ... -2.9992603e-18
  1.2724654e-17 -4.9220059e-18]","[5.7776495e-17 4.2236527e-17 4.1814053e-17 ... 4.9907823e-17 5.2661421e-17
 6.3414425e-17]"
6671-56388-0068,[ 3567.7969  3568.6177  3569.4385 ... 10327.612  10329.994  10332.376 ],"[ 1.8710506e-16 -1.1173729e-16  1.8514801e-16 ...  4.5675686e-17
  3.1007150e-17 -2.8296840e-17]","[4.7276290e-17 4.8460277e-17 4.9080930e-17 ... 3.3161840e-17 2.6524953e-17
 3.2050665e-17]"
6671-56388-0473,[ 3566.1538  3566.9744  3567.7969 ... 10332.376  10334.747  10337.131 ],"[ 1.7517725e-16  1.6982733e-16  1.6447925e-16 ...  1.8547118e-17
  2.1637144e-17 -9.8414525e-18]","[6.4633564e-17 0.0000000e+00 6.6345814e-17 ... 2.3091721e-17 2.6549048e-17
 2.6730891e-17]"
6671-56388-0724,[ 3607.447   3608.2788  3609.109  ... 10356.193  10358.569  10360.958 ],"[ 2.1171479e-17  5.6457538e-17  1.7945397e-17 ... -1.9412905e-17
 -1.8621918e-17 -1.7830914e-17]","[4.1380170e-17 4.2506975e-17 4.0584029e-17 ... 4.4099804e-17 0.0000000e+00
 4.3704137e-17]"
6677-56385-0403,[ 3563.69    3564.5117  3565.3318 ... 10329.994  10332.376  10334.747 ],"[-9.3973832e-17 -5.3763514e-17  1.0461583e-16 ...  3.3687294e-17
 -4.0697820e-18 -2.1214714e-17]","[3.9760911e-17 3.8250860e-17 3.7533989e-17 ... 2.3849305e-17 2.3555199e-17
 2.4885742e-17]"
6685-56412-0856,[ 3608.2788  3609.109   3609.9392 ... 10375.279  10377.672  10380.064 ],"[ 4.1321373e-18  6.9128662e-17  4.7520421e-17 ... -1.8586780e-17
  5.3007649e-17 -2.0873933e-17]","[3.7463572e-17 3.9132734e-17 3.7952860e-17 ... 5.6533805e-17 3.5470021e-17
 2.8536646e-17]"
6685-56412-0919,[ 3608.2788  3609.109   3609.9392 ... 10380.064  10382.458  10384.841 ],"[-2.7756909e-17  3.0270036e-17  4.9810679e-17 ... -3.4429226e-17
 -9.0825598e-18  1.6265823e-17]","[3.1246049e-17 3.2849536e-17 3.1674612e-17 ... 3.4462995e-17 0.0000000e+00
 3.6002801e-17]"
6689-56396-0902,[ 3607.447   3608.2788  3609.109  ... 10353.806  10356.193  10358.569 ],"[ 1.48595361e-16 -6.32506633e-17 -1.81501343e-17 ...  2.61609699e-17
  1.22222636e-17 -1.77521529e-17]","[3.8482675e-17 3.3533012e-17 3.2073991e-17 ... 2.8130669e-17 3.4611517e-17
 3.8381951e-17]"
